name	url	our_price	ingredients	lifestage	food_form	special_diet	packaging_type	food_texture	brand	moisture_warning	%_calories_carbohydrate	%_calories_min_protein	%_calories_min_fat	price_per_kcal
Royal Canin Veterinary Diet Urinary SO Loaf In Sauce Canned Cat Food, 5.8-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35160	56.88	Water Sufficient For Processing, Pork By-Products, Pork Liver, Chicken By-Products, Chicken Liver, Chicken, Pork Plasma, Powdered Cellulose, Wheat Flour, Natural Flavors, Wheat Gluten, Calcium Sulfate, Salt, Fish Oil, Carob Bean Gum, Carrageenan, Potassium Chloride, Sodium Tripolyphosphate, Xanthan Gum, Taurine, Sodium Bisulfate, Dl-Methionine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement], Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Zinc Proteinate, Ferrous Sulfate, Calcium Iodate, Copper Sulfate, Manganous Oxide, Sodium Selenite].	adult	wet food	pea-free veterinary diet	can	pate	royal canin		19.444444444444446	51.041666666666664	29.51388888888889	0.017555555555555557
Royal Canin Veterinary Diet Urinary SO Dry Cat Food, 17.6-lb bag	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35158	77.99	Chicken By-Product Meal, Brewers Rice, Corn, Corn Gluten Meal, Chicken Fat, Wheat Gluten, Natural Flavors, Wheat, Salt, Powdered Cellulose, Fish Oil, Potassium Chloride, Sodium Bisulfate, Calcium Sulfate, Sodium Pyrophosphate, Vegetable Oil, Fructooligosaccharides, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Dl-Methionine, Taurine, Monocalcium Phosphate, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.	adult	dry food	pea-free veterinary diet			royal canin		38.36407113212215	31.264601599648184	30.371327268229663	0.002670376127357201
Cat Chow Sensitive Stomach Gentle Dry Cat Food, 13-lb bag	https://www.chewy.com/cat-chow-sensitive-stomach-gentle-dry/dp/127657	13.98	Turkey By-Product Meal, Corn Gluten Meal, Ground Yellow Corn, Soy Flour, Rice, Beef Fat Preserved With Mixed-Tocopherols, Chicken By-Product Meal, Ground Whole Wheat, Turkey, Liver Flavor, Powdered Cellulose, Soybean Hulls, Inulin, Phosphoric Acid, Natural Flavor, Salt, Calcium Carbonate, Choline Chloride, Potassium Chloride, Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. D450418.	adult	dry food	sensitive digestion pea-free			purina kitten chow		37.72528792896288	34.87383875978079	27.400873311256333	0.0006487614437546039
Fancy Feast Classic Turkey & Giblets Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-turkey-giblets/dp/103915	15.34	Turkey, Liver, Meat By-Products, Turkey Broth, Poultry Giblets, Artificial and Natural Flavors, Guar Gum, Tricalcium Phosphate, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement].	adult	wet food	grain-free pea-free	can	pate	purina		5.896020911995363	44.728434504792325	49.3755445832123	0.006657986111111111
Friskies Classic Pate Turkey & Giblets Dinner Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/friskies-classic-pate-turkey-giblets/dp/104078	13.2	Meat By-Products, Water Sufficient for Processing, Turkey, Poultry By-Products, Fish, Poultry Giblets, Rice, Artificial and Natural Flavors, Salt, Guar Gum, Calcium Phosphate, Added Color, Potassium Chloride, Carrageenan, Magnesium Sulfate, Taurine, Choline Chloride, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Copper Sulfate, Vitamin A Supplement, Manganese Sulfate, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B12 Supplement, Biotin, Folic Acid, Vitamin D3 Supplement, Potassium Iodide.	adult	wet food		can	pate	purina		11.75633361799033	39.85197836606888	48.39168801594078	0.0013221153846153845
Hill's Prescription Diet c/d Multicare Urinary Care Vegetable, Tuna & Rice Stew Canned Cat Food, 2.9-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/108319	39.99	Water, Pork Liver, Carrots, Chicken, Tuna, Wheat Gluten, Rice, Spinach, Corn Starch, Chicken Liver Flavor, Fish Oil, Chicken Fat, Potassium Alginate, Soybean Oil, Titanium Dioxide color, Calcium Chloride, Dicalcium Phosphate, Guar Gum, Calcium Sulfate, Taurine, Choline Chloride, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid, Menadione Sodium Bisulfite Complex, Potassium Citrate, Sodium Tripolyphosphate, Iodized Salt, minerals (Zinc Oxide, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate), Beta-Carotene, Calcium Carbonate.	adult	wet food	pea-free veterinary diet	can	stew	hill's	% moisture max estimated	46.53739612188366	25.20775623268698	28.254847645429365	0.02486940298507463
Kitten Chow Nurture Dry Cat Food, 14-lb bag	https://www.chewy.com/kitten-chow-nurture-dry-cat-food/dp/127713	13.98	Chicken By-product Meal, Corn Gluten Meal, Rice, Soy Flour, Beef Fat Preserved With Mixed-tocopherols, Ground Whole Wheat, Chicken, Fish Meal, Liver Flavor, Dried Yeast, Calcium Carbonate, Phosphoric Acid, Salt, Choline Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, Potassium Chloride. J453018.	kitten	dry food	high-protein pea-free			purina		28.29271133630355	40.76759558545179	30.939693078244662	0.0006027511634273201
Hill's Prescription Diet c/d Multicare Urinary Care with Ocean Fish Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/54775	54.99	Pork By-Products, Water, Pork Liver, Ocean Fish, Brewers Rice, Chicken Fat, Corn Starch, Corn Gluten Meal, Chicken Liver Flavor, Powdered Cellulose, Guar Gum, Fish Oil, Soybean Oil, Choline Chloride, Calcium Carbonate, Calcium Sulfate, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Brewers Dried Yeast, Taurine, DL-Methionine, Potassium Chloride, Potassium Citrate, Iodized Salt, minerals (Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Calcium Iodate), Beta-Carotene.	adult	wet food	pea-free veterinary diet	can	pate	hill's	% moisture max estimated	41.06666666666667	31.733333333333334	27.200000000000003	0.013557692307692309
Fancy Feast Flaked Fish & Shrimp Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-flaked-fish-shrimp-feast/dp/103932	15.36	Ocean Fish, Fish Broth, Shrimp, Vegetable Oil, Tricalcium Phosphate, Guar Gum, Choline Chloride, Vitamins [Vitamin E Supplement, Niacin, Vitamin A Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B-12 Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Folic Acid, Vitamin D-3 Supplement], Minerals [Ferric Pyrophosphate, Zinc Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Sodium Nitrite (To Promote Color Retention). C-6901.	adult	wet food		can	flaked	purina		0.0	78.27476038338658	21.72523961661342	0.0073563218390804595
Purina Pro Plan Focus Adult Urinary Tract Health Formula Chicken Entree in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/purina-pro-plan-focus-adult-urinary/dp/52846	23.28	Water, Meat By-Products, Chicken, Wheat Gluten, Corn Starch-modified, Artificial And Natural Flavors, Soy Flour, Potassium Chloride, Minerals [Potassium Chloride, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Taurine, Tricalcium Phosphate, Salt, Added Color, Choline Chloride, Vitamins [Thiamine Mononitrate, Vitamin E Supplement, Niacin, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement]. E466418.	adult	wet food		can	chunks in gravy	purina		18.091737254275184	47.94630014383892	33.9619626018859	0.01288180610889774
Rachael Ray Nutrish Natural Chicken & Brown Rice Recipe Dry Cat Food, 14-lb bag	https://www.chewy.com/rachael-ray-nutrish-natural-chicken/dp/105836	19.97	Chicken, Chicken Meal, Corn Gluten Meal, Brown Rice, Brewer's Rice, Dried Peas, Poultry Fat (Preserved with Mixed Tocopherols), Whole Flaxseed, Fish Meal, Dried Plain Beet Pulp, Natural Flavor, Caramel (Color), Salt, Potassium Chloride, Dicalsium Phosphate, Choline Chloride, Taurine, Dried Carrots, Vitamin E Supplement, Zinc Sulfate, Calcium Carbonate, L-Tryptophan, Ferrous Sulfate, Niacin, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Manganese Sulfate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Biotin, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin B12 Supplement, Folic Acid, Potassium Iodide, Vitamin D3 Supplement.	adult	dry food						33.73934226552984	33.13032886723508	33.13032886723508	0.0008652751031636863
Fancy Feast Classic Ocean Whitefish & Tuna Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-ocean-whitefish/dp/103922	15.36	Ocean Whitefish, Liver, Fish, Meat By-Products, Fish Broth, Tuna, Artificial And Natural Flavors, added Color, Guar Gum, Tricalcium Phosphate, MINERALS [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, VITAMINS [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement].	adult	wet food	grain-free pea-free	can	pate	purina		14.025500910746814	61.20218579234973	24.772313296903462	0.007529411764705882
Friskies Indoor Delights Dry Cat Food, 16-lb bag	https://www.chewy.com/friskies-indoor-delights-dry-cat-food/dp/104282	10.02	Ground Yellow Corn, Corn Gluten Meal, Chicken By-Product Meal, Soybean Meal, Beef Tallow Preserved With Mixed-Tocopherols, Powdered Cellulose, Soybean Hulls, Liver Flavor, Meat And Bone Meal, Calcium Carbonate, Phosphoric Acid, Salmon Meal, Salt, Natural Flavor, Choline Chloride, Dried Cheese Powder, Parsley Flakes, Potassium Chloride, Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Vitamin E Supplement, Yellow 6, L-Tryptophan, Yellow 5, Red 40, Blue 2. H600218.	adult	dry food	indoor pea-free			purina		41.99077125906393	33.55905794930185	24.450170791634203	0.00041000037114014254
Fancy Feast Grilled Tuna Feast in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-grilled-tuna-feast-in/dp/103968	13.2	Fish Broth, Tuna, Wheat Gluten, Liver, Chicken, Meat By-Products, Corn Starch-Modified, Artificial and Natural Flavors, Corn Oil, Tricalcium Phosphate, Salt, Soy Protein Concentrate, Added Color, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Taurine, Choline Chloride, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement], Red 3. D-6929.	adult	wet food		can	grilled	purina		14.779270633397312	59.11708253358925	26.103646833013432	0.007857142857142856
Hill's Prescription Diet c/d Multicare Urinary Care Stress Chicken & Vegetable Stew Canned Cat Food, 2.9-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/108317	40.99	Water, Pork Liver, Chicken, Carrots, Wheat Gluten, Rice, Corn Starch, Spinach, Chicken Liver Flavor, Chicken Fat, Potassium Alginate, Fish Oil, Soybean Oil, Calcium Chloride, Dicalcium Phosphate, Guar Gum, Calcium Sulfate, Taurine, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid), Potassium Citrate, Iodized Salt, Choline Chloride, Sodium Tripolyphosphate, Dried Hydrolyzed Casein, L-Tryptophan, minerals (Zinc Oxide, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate), Beta-Carotene, Calcium Carbonate.	adult	wet food	pea-free veterinary diet	can	stew	hill's	% moisture max estimated	53.6986301369863	23.013698630136986	23.28767123287671	0.0247524154589372
