name,url,our_price,list_price,calories,ingredients,attr_dict,ga_dict
"Forza10 Nutraceutic Actiwet Renal Support Canned Cat Food, 3.5-oz, case of 32",https://www.chewy.com/forza10-nutraceutic-actiwet-renal/dp/209878,56.99,,"806 kcal/kg, 80 kcal/tray","Water Sufficient For Processing, Salmon, Chicken Liver, Lamb, Rice, Minerals (Dicalcium Phosphate, Calcium Carbonate, Salt, Zinc Sulfate, Manganese Sulfate, Potassium Iodine), Cassia Gum, Starch, Taurine, Guar Gum, Locust Bean Gum, Xanthan Gum, Vitamins (Vitamin D3 Supplement, Vitamin E Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Biotin, Folic Acid), Vegetable Oil, Dried Dandelion Root Extract, Dried Clover Extract, Cranberries.","{'Item Number': '183209', 'Weight': '7.0\xa0pounds', 'Packaging Type': 'Tray', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'Gluten Free, No Corn No Wheat No Soy, Non-GMO, GMO-Free, Limited Ingredient Diet, Natural'}","{'Crude Protein': '6.0% min', 'Crude Fat': '4.5% min', 'Crude Fiber': '0.5% max', 'Moisture': '82% max', 'Phosphorus': '0.13% min', 'Sodium': '0.06% min'}"
"Halo Whitefish Recipe Pate Grain-Free Indoor Cat Canned Cat Food, 5.5-oz, case of 12",https://www.chewy.com/halo-whitefish-recipe-pate-grain-free/dp/221121,22.85,26.88,"1021 kcal/kg, 159 kcal/5.5-oz can","Ocean Whitefish, Chicken Liver, Chicken, Water Sufficient For Processing, Salmon Oil (Preserved With Mixed Tocopherols), Natural Flavor, Sweet Potatoes, Spinach, Guar Gum, Carrageenan, Potassium Chloride, Cranberries, Minerals (Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide), Salt, Choline Chloride, Carrots, Vitamins (Thiamine Mononitrate, Vitamin E Supplement, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Taurine.","{'Item Number': '194489', 'Weight': '4.125\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'Grain-Free, Indoor, Pea-Free'}","{'Crude Protein': '11.0% min', 'Crude Fat': '6.0% min', 'Crude Fiber': '0.75% max', 'Moisture': '78.0% max', 'Ash': '3.6% max', 'Taurine': '0.05% min'}"
"Triumph Ocean Fish Formula Canned Cat Food, 13.2-oz, case of 12",https://www.chewy.com/triumph-ocean-fish-formula-canned-cat/dp/107396,18.34,,"1112 kcal/kg, 405 kcal/13.2-oz can, 173 kcal/5.5-oz can, 95 kcal/3-oz can","Ocean Fish, Water Sufficient For Processing, Pork Liver, Chicken, Rice Flour, Dried Egg Product, Guar Gum, Potassium Chloride, Salt, Choline Chloride, Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Minerals (Ferrous Sulfate, Zinc Oxide, Copper Proteinate, Sodium Selenite, Manganese Sulfate, Potassium Iodide), Taurine, Carrageenan.","{'Item Number': '79562', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food'}","{'Crude Protein': '10.0% min', 'Crude Fat': '5.0% min', 'Crude Fiber': '1.0% max', 'Moisture': '78.0% max', 'Ash': '2.9% max', 'Calcium': '0.18% min', 'Phosphorus': '0.16% min', 'Magnesium': '0.035% max', 'Taurine': '0.05% min'}"
"Hill's Science Diet Adult 7+ Tender Chicken Dinner Canned Cat Food, 5.5-oz, case of 24",https://www.chewy.com/hills-science-diet-adult-7-tender/dp/37909,37.68,37.99,165 kcal/5.5 oz can,"Water, Chicken, Pork Liver, Wheat Flour, Wheat Gluten, Dextrose, Modified Rice Starch, Oat Fiber, Egg Whites, Chicken Liver Flavor, Soybean Oil, Potassium Chloride, Calcium Carbonate, Dicalcium Phosphate, Guar Gum, Choline Chloride, Fish Oil, Salt, L-Lysine, vitamins (Vitamin E Supplement, Thiamine Mononitrate, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Ascorbic Acid (source of Vitamin C), Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid), Taurine, Iodized Salt, minerals (Calcium Chloride, Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Calcium Iodate), L-Carnitine, Caramel color, Beta-Carotene.","{'Item Number': '52767', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Brand': ""Hill's, Science Diet"", 'Lifestage': 'Senior', 'Food Form': 'Wet Food'}","{'Crude Protein': '7.3% min', 'Crude Fat': '2.3% min', 'Crude Fiber': '1.5% max', 'Moisture': '82.0% max'}"
"Halo Salmon Recipe Pate Grain-Free Indoor Cat Canned Cat Food, 5.5-oz, case of 12",https://www.chewy.com/halo-salmon-recipe-pate-grain-free/dp/221124,21.79,26.88,"1116 kcal/kg, 174 kcal/5.5-oz can","Salmon, Water Sufficient For Processing, Turkey, Turkey Liver, Salmon Oil (Preserved With Mixed Tocopherols), Natural Flavor, Sweet Potatoes, Guar Gum, Carrageenan, Cranberries, Spinach, Tricalcium Phosphate, Potassium Chloride, Carrots, Minerals (Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide), Choline Chloride, Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid),  Taurine, Magnesium Sulfate.","{'Item Number': '194492', 'Weight': '4.125\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'Grain-Free, Indoor, Pea-Free'}","{'Crude Protein': '11.0% min', 'Crude Fat': '7.0% min', 'Crude Fiber': '0.75% max', 'Moisture': '78.0% max', 'Ash': '4.0% max', 'Taurine': '0.05% min'}"
"Merrick Backcountry Grain-Free Kitten Recipe Cuts Chicken & Duck in Gravy Cat Food Pouches, 3-oz, case of 24",https://www.chewy.com/merrick-backcountry-grain-free-kitten/dp/150974,32.16,32.18,"959 kcal/kg, 82 kcal/pouch","Deboned Chicken, Chicken Broth, Duck Broth, Chicken Liver, Deboned Duck, Dried Egg Whites, Potato Starch, Natural Flavor, Guar Gum, Sodium Phosphate, Salt, Salmon Oil (preserved with mixed tocopherols), Potassium Chloride, Taurine, Choline Chloride, Minerals (Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate,  Sodium Selenite, Potassium Iodide), Sodium Carbonate, Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, d-Calcium Pantotenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Inulin, Calcium Carbonate, Rosemary, Sage, Thyme, Rosemary Extract.","{'Item Number': '123840', 'Weight': '4.5\xa0pounds', 'Packaging Type': 'Pouch', 'Food Texture': 'Chunks in Gravy', 'Lifestage': 'Kitten', 'Food Form': 'Wet Food', 'Special Diet': 'Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein, Pea-Free, Natural'}","{'Crude Protein': '9.5% min', 'Crude Fat': '4.0% min', 'Crude Fiber': '1.2% max', 'Moisture': '81.0% max', 'Ash': '2.30% max', 'Taurine': '0.15% min'}"
"Natural Balance Delectable Delights Catatouille Stew Grain-Free Wet Cat Food, 2.5-oz, case of 12",https://www.chewy.com/natural-balance-delectable-delights/dp/37621,15.53,,"840 kcal/kg, 60 kcal/tub","Chicken Broth, Chicken, Chicken Liver, Carrots, Dried Egg, Green Beans, Tapioca Starch, Pea Protein, Guar Gum, Sunflower Oil, Tricalcium Phosphate, Tuna Oil, Choline Chloride, Salt, Taurine, Potassium Chloride, Vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin D3 Supplement, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Folic Acid, Biotin, Vitamin B12 Supplement), Minerals (Ferrous Sulfate, Zinc Oxide, Manganese Sulfate, Copper Amino Acid Complex, Potassium Iodide, Sodium Selenite), Magnesium Sulfate, Zinc Oxide, Thiamine Mononitrate.","{'Item Number': '52478', 'Packaging Type': 'Tray', 'Food Texture': 'Stew', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'Grain-Free, No Corn No Wheat No Soy'}","{'Crude Protein': '10.0% min', 'Crude Fat': '1.5% min', 'Crude Fiber': '1.0% max', 'Moisture': '83.0% max', 'Taurine': '0.034% min'}"
"Blue Buffalo Freedom Indoor Mature Chicken Recipe Grain-Free Dry Cat Food, 11-lb bag",https://www.chewy.com/blue-buffalo-freedom-indoor-mature/dp/49675,33.98,,"3482 kcal/kg, 383 kcal/cup","Deboned Chicken, Chicken Meal, Tapioca Starch, Peas, Potatoes, Potato Starch, Pea Protein, Menhaden Fish Meal (source of Omega 3 Fatty Acids), Pea Fiber, Chicken Fat (preserved with Mixed Tocopherols), Powdered Cellulose, Flaxseed (source of Omega 6 Fatty Acids), Natural Flavor, Fish Oil (source of DHA-Docosahexaenoic Acid), DL-Methionine, Choline Chloride, Dehydrated Alfalfa Meal, Potassium Chloride, Taurine, Dried Chicory Root, L-Lysine, Alfalfa Nutrient Concentrate, Calcium Carbonate, Vitamin E Supplement, Potassium sulfate, Salt, preserved with Mixed Tocopherols, Sweet Potatoes, Carrots, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Carnitine, Vegetable juice for color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, Biotin (Vitamin B7), Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Calcium Iodate, Sodium Selenite, Oil of Rosemary.","{'Item Number': '64713', 'Weight': '11.0\xa0pounds', 'Brand': 'Blue Freedom', 'Lifestage': 'Senior', 'Food Form': 'Dry Food', 'Special Diet': 'Indoor, Grain-Free, Gluten Free, No Corn No Wheat No Soy'}","{'Crude Protein': '30.0% min', 'Crude Fat': '12.0% min', 'Crude Fiber': '8.0% max', 'Moisture': '9.0% max', 'Magnesium': '0.14% min', 'Vitamin E': '300 IU/kg min', 'Taurine': '0.20% min', 'DHA': '0.10% min', 'Omega-3 Fatty Acids': '0.75% min', 'Omega-6 Fatty Acids': '2.0% min', 'Ascorbic Acid': '100mg/kg  min', 'L-Carnitine': '100mg/kg min'}"
"Tiki Cat Bora Bora Grill Sardine Cutlets in Lobster Consomme Grain-Free Canned Cat Food, 2.8-oz, case of 12",https://www.chewy.com/tiki-cat-bora-bora-grill-sardine/dp/34291,13.93,14.28,"730 kcal/kg, 58 kcal/2.8 oz can, 124 kcal/6 oz can","Sardines, Lobster Broth, Sunflower Seed Oil, Locust Bean Gum, Guar Gum, Choline Chloride, Xanthan Gum, Paprika, Taurine, Vitamin E Supplement, Zinc Sulfate, Iron Sulfate, Niacin (Vitamin B3), Thiamine Mononitrate (Vitamin B1), Calcium Pantothenate, Manganese Sulfate, Potassium Iodide, Vitamin A Supplement, Riboflavin Supplement (Vitamin B2), Pyridoxine Hydrochloride (Vitamin B6), Copper Sulfate, Folic Acid, Vitamin D3 Supplement, Vitamin B12 Supplement.","{'Item Number': '49110', 'Packaging Type': 'Can', 'Food Texture': 'Shredded', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'No Corn No Wheat No Soy, High-Protein, Gluten Free, Low Glycemic, Grain-Free, Pea-Free, GMO-Free, Natural'}","{'Crude Protein': '11.0% min', 'Crude Fat': '3.0% min', 'Crude Fiber': '0% max', 'Moisture': '83.0% max', 'Ash': '2.9% max', 'Taurine': '0.2% max'}"
"Fussie Cat Market Fresh Salmon & Chicken Recipe Grain-Free Dry Cat Food, 10-lb bag",https://www.chewy.com/fussie-cat-market-fresh-salmon/dp/125721,30.02,31.99,"3550 kcal/kg, 410 kcal/cup","Salmon, Chicken Meal, Peas, Chickpeas, Chicken Fat (Preserved with Mixed Tocopherols and Citric Acid), Turkey Meal, Pea Flour, Natural Flavors, Flax Seeds, Catfish Meal, Salmon Meal, Dicalcium Phosphate, Fructooligosaccharide, Potassium Chloride, Minerals (Iron Proteinate, Zinc Proteinate, Copper Proteinate, Manganese Proteinate, Cobalt Proteinate), Dl Methionine, Choline Chloride, Blueberries, Cranberries, Vitamins (Vitamin A Acetate, Vitamin D3 Supplement, Vitamin E Supplement, Niacin, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Folic Acid, Biotin, Vitamin B12 Supplement), Taurine, Lactic Acid, Kelp Meal, Calcium Iodate, Sodium Selenite, Rosemary Extract.","{'Item Number': '98161', 'Weight': '10.0\xa0pounds', 'Lifestage': 'Adult', 'Food Form': 'Dry Food', 'Special Diet': 'Grain-Free, Natural, N/A'}","{'Crude Protein': '36.0% min', 'Crude Fat': '16.0% min', 'Crude Fiber': '5.0% max', 'Moisture': '10.0% max', 'Calcium': '1.0% min', 'Phosphorus': '0.8% min', 'Omega-6 Fatty Acids': '2.0% min', 'Omega-3 Fatty Acids': '0.4% min'}"
"Whole Earth Farms Grain-Free Real Chicken Pate Recipe Canned Cat Food, 5-oz, case of 24",https://www.chewy.com/whole-earth-farms-grain-free-real/dp/115614,17.33,35.76,"1185 kcal/kg, 92 kcal/2.75-oz can, 143 kcal/5-oz can","Chicken, Chicken Broth, Chicken Liver, Natural Flavor, Dried Egg Product, Dried Peas, Calcium Carbonate, Organic Dehydrated Alfalfa Meal, Sodium Phosphate, Salmon Oil, Potassium Chloride, Salt, Guar Gum, Choline Chloride, Taurine, Agar-Agar, Ground Flaxseed, Locust Bean Gum, Xanthan Gum, Cinnamon, Flaxseed Oil, Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin, d-Calcium Pantothenate, Vitamin B12 Supplement, Vitamin A Supplement, Riboflavin Supplement, Folic Acid, Biotin, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex (source of Vitamin K), Vitamin D3 Supplement), Minerals (Zinc Amino Acid Complex, Sodium Selenite, Manganese Amino Acid Complex, Iron Amino Acid Complex, Copper Amino Acid Complex, Cobalt Glucoheptonate, Potassium Iodide), Rosemary, Sage, Thyme.","{'Item Number': '87855', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'No Corn No Wheat No Soy, Grain-Free'}","{'Crude Protein': '9.0% min', 'Crude Fat': '5.0% min', 'Crude Fiber': '3.0% max', 'Moisture': '78.0% max', 'Taurine': '0.1% min'}"
"9 Lives Meaty Pate with Real Chicken & Tuna Canned Cat Food, 5.5-oz, case of 24",https://www.chewy.com/9-lives-meaty-pate-real-chicken-tuna/dp/127837,15.99,,"1080 kcal/kg, 168 kcal/can","Meat By-Products, Water Sufficient for Processing, Chicken, Poultry By-Products, Fish, Tuna, Brewer's Rice, Calcium Carbonate, Salt, Potassium Chloride, Sodium Tripolyphosphate, Guar Gum, Titanium Dioxide (Color), Choline Chloride, Carrageenan, Vitamins (Vitamin E Supplement, Vitamin A Supplement, Thiamine Mononitrate, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Sodium Nitrite (To Promote Color Retention).","{'Item Number': '100301', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food'}","{'Crude Protein': '9.0% min', 'Crude Fat': '4.5% min', 'Crude Fiber': '1.0% max', 'Moisture': '78.0% max', 'Ash': '3.5% max', 'Taurine': '0.05%'}"
"Tiki Cat Velvet Mousse Tuna & Chicken Grain-Free Wet Cat Food, 2.8-oz pouch, case of 12",https://www.chewy.com/tiki-cat-velvet-mousse-tuna-chicken/dp/172056,18.25,19.33,"935 kcal/kg, 75 kcal/pouch","Tuna Broth, Tuna, Chicken, Dried Egg, Sunflower Oil, Tricalcium Phosphate, Xanthan Gum, Potassium Chloride, Choline Chloride, Magnesium Sulfate, Taurine, Zinc Amino Acid Chelate, Iron Amino Acid Chelate, Vitamin E Supplement, Ascorbic Acid (Source Of Vitamin C), Thiamine Mononitrate (Vitamin B1), Niacin (Vitamin B3), Manganese Amino Acid Chelate, Vitamin A Supplement, Copper Amino Acid Chelate, Calcium Iodate, Calcium Pantothenate, Sodium Selenite, Riboflavin Supplement (Vitamin B2), Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Folic Acid, Vitamin D3 Supplement, Biotin, Vitamin K3 Supplement.","{'Item Number': '145201', 'Weight': '2.1\xa0pounds', 'Packaging Type': 'Pouch', 'Food Texture': 'Pate', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'High-Protein, Grain-Free, Pea-Free, No Corn No Wheat No Soy, GMO-Free, Natural'}","{'Crude Protein': '13.0% min', 'Crude Fat': '2.0% min', 'Crude Fiber': '1.0% max', 'Moisture': '80.0% max', 'Ash': '2.0% max'}"
"Purina Pro Plan Savor Adult Chicken Entrée with Tomatoes Braised in Gravy Canned Cat Food, 3-oz, case of 24",https://www.chewy.com/purina-pro-plan-savor-adult-chicken/dp/114022,23.28,,849 kcal/kg; 72 kcal/can,"Water Sufficient for Processing, Chicken, Liver, Wheat Gluten, Meat By Products, Tomatoes, Corn Starch Modified, Artificial and Natural Flavors, Salt, Calcium Phosphate, Soy Protein Concentrate, Corn Oil, Potassium Chloride, Added Color, Taurine, Choline Chloride, Vitamin E Supplement, Thiamine Mononitrate, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Copper Sulfate, Manganese Sulfate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B 12 Supplement, Biotin, Folic Acid, Vitamin D 3 Supplement, and Potassium Iodide.","{'Item Number': '86244', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Brand': 'Purina', 'Lifestage': 'Adult', 'Food Form': 'Wet Food'}","{'Crude Protein': '10.0% min', 'Crude Fat': '2.0% min', 'Crude Fiber': '1.5% max', 'Moisture': '80.0% max', 'Ash': '3.0% max', 'Taurine': '0.05% min'}"
"Purina Pro Plan Prime Plus Adult 7+ Ocean Whitefish & Salmon Entree Classic Canned Cat Food, 3-oz, case of 24",https://www.chewy.com/purina-pro-plan-prime-plus-adult-7/dp/138459,24.28,,"1260 kcal/kg, 107 kcal/can","Ocean Whitefish, Liver, Meat By-Products, Water Sufficient For Processing, Salmon, Soybean Oil, Chicory Root, Minerals (Salt, Potassium Chloride, Mono And Dicalcium Phosphate, Magnesium Sulfate, Tricalcium Phosphate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide), Artificial And Natural Flavors, Guar Gum, Taurine, Fish Oil, Vitamins (Vitamin E, Vitamin C, Choline, Vitamin B-1, Vitamin B-3, Vitamin B-5, Vitamin A, Vitamin K, Vitamin B-6, Vitamin B-2, Vitamin B-12, Vitamin B-7, Folic Acid, Vitamin D-3), Beta-Carotene. B475018.","{'Item Number': '111105', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Brand': 'Purina', 'Lifestage': 'Adult, Senior', 'Food Form': 'Wet Food'}","{'Crude Protein': '10.0% min', 'Crude Fat': '7.0% min', 'Crude Fiber': '1.5% max', 'Moisture': '78.0% max', 'Ash': '3.5% max', 'Linoleic Acid': '1.9% min', 'Vitamin E': '120 IU/kg min', 'Taurine': '0.05% min', 'Beta-Carotene*': '10 ppm min', 'Omega-3 Fatty Acids': '0.3% min', 'Omega-6 Fatty Acids': '2.0% min'}"
"Primal Rabbit Formula Nuggets Grain-Free Raw Freeze-Dried Cat Food, 14-oz",https://www.chewy.com/primal-rabbit-formula-nuggets-grain/dp/141885,41.97,41.99,"3900 kcal/kg, 111 kcal/kg","Rabbit (with ground bone), Rabbit Livers, Organic Kale, Organic Celery, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Rabbit Kidneys, Organic Squash, Rabbit Lungs, Rabbit Hearts, Organic Cilantro, Organic Ginger, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Rosemary Extract, Taurine, Organic Coconut Oil, Cod Liver Oil, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp.","{'Item Number': '114611', 'Weight': '14\xa0ounces', 'Lifestage': 'Adult', 'Food Form': 'Freeze-Dried', 'Special Diet': 'Gluten Free, Grain-Free, No Corn No Wheat No Soy, Raw, Pea-Free, Natural'}","{'Crude Protein': '57.0% min', 'Crude Fat': '19.0% min', 'Crude Fiber': '3.0% max', 'Moisture': '10.0% max'}"
"Fancy Feast Marinated Morsels Turkey Feast in Gravy Canned Cat Food, 3-oz, case of 24",https://www.chewy.com/fancy-feast-marinated-morsels-turkey/dp/103985,15.36,16.80,"952 kcal/kg, 81 kcal/can","Poultry Broth, Turkey, Liver, Wheat Gluten, Meat By-Products, Corn Starch-Modified, Artificial and Natural Flavors, Soy Flour, Added Color, Tricalcium Phosphate, Salt, Potassium Chloride, Taurine, Choline Chloride, Magnesium Sulfate, Mono and Dicalcium Phosphate, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Copper Sulfate, Manganese Sulfate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement, Potassium Iodide. B-6944.","{'Item Number': '76109', 'Weight': '5.3\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Chunks in Gravy', 'Brand': 'Purina', 'Lifestage': 'Adult', 'Food Form': 'Wet Food'}","{'Crude Protein': '11.0% min', 'Crude Fat': '2.0% min', 'Crude Fiber': '1.5% max', 'Moisture': '78.0% max', 'Ash': '2.7% max', 'Taurine': '0.05% min'}"
"Diamond Naturals Chicken Dinner Adult & Kitten Canned Cat Food, 5.5-oz, case of 24",https://www.chewy.com/diamond-naturals-chicken-dinner-adult/dp/170107,23.76,,"1337 kcal/kg, 209 kcal/can","Chicken, Chicken Broth, Chicken Liver, Brown Rice Flour, Carrots, Natural Flavor, Flaxseed Oil (Preserved With Mixed Tocopherols), Guar Gum, Agar-Agar, Salt, Potassium Chloride, Dl-Methionine, Pumpkin, Quinoa, Cranberries, Blueberries, Dried Kelp, Inulin, Taurine, Choline Chloride, Iron Amino Acid Chelate, Sodium Carbonate, Zinc Amino Acid Chelate, Vitamin E Supplement, Thiamine Mononitrate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Potassium Iodide, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid, Rosemary Extract.","{'Item Number': '143232', 'Weight': '8.25\xa0pounds', 'Packaging Type': 'Can', 'Food Texture': 'Pate', 'Lifestage': 'Adult, Kitten', 'Food Form': 'Wet Food', 'Special Diet': 'No Corn No Wheat No Soy, Pea-Free'}","{'Crude Protein': '10.0% min', 'Crude Fat': '5.0% min', 'Crude Fiber': '1.0% max', 'Moisture': '78.0% max'}"
"Dave's Pet Food Naturally Healthy Grain-Free Shredded Chicken Dinner in Gravy Canned Cat Food, 5.5-oz, case of 24",https://www.chewy.com/daves-pet-food-naturally-healthy/dp/132856,28.99,34.99,"905 kcal/kg, 141 kcal/can","Chicken Broth, Chicken, Chicken Liver, Dried Egg White, Potato Starch, Guar Gum, Natural Flavor, Dried Egg Product, Salt, Sodium Phosphate, Potassium Chloride, Calcium Carbonate, Minerals (Zinc Amino Acid Chelate, Iron Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide), Vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid), Taurine, Choline Chloride.","{'Item Number': '105394', 'Packaging Type': 'Can', 'Food Texture': 'Shredded', 'Lifestage': 'Adult', 'Food Form': 'Wet Food', 'Special Diet': 'Gluten Free, Grain-Free, Pea-Free, Non-GMO'}","{'Crude Protein': '8.0% min', 'Crude Fat': '4.0% min', 'Crude Fiber': '1.5% min', 'Moisture': '82.0% max', 'Ash': '2.8% max', 'Magnesium': '0.025% max', 'Taurine': '0.05% min'}"
