name	url	our_price	list_price	ingredients	%_protein_min	%_fat_min	%_fiber_max	%_moisture_max	item_number	weight	lifestage	food_form	special_diet	packaging_type	food_texture	brand	breed_size	dimensions	small_pet_type	%_misc_components	kcal_per_kg	kcal_per_lb	kcal_per_oz	kcal_per_cup	kcal_per_item	item_volume_for_kcal	total_mass_lb	item_oz	item_count	moisture_warning	conversion_warning
Royal Canin Veterinary Diet Urinary SO Loaf In Sauce Canned Cat Food, 5.8-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35160	56.88		Water Sufficient For Processing, Pork By-Products, Pork Liver, Chicken By-Products, Chicken Liver, Chicken, Pork Plasma, Powdered Cellulose, Wheat Flour, Natural Flavors, Wheat Gluten, Calcium Sulfate, Salt, Fish Oil, Carob Bean Gum, Carrageenan, Potassium Chloride, Sodium Tripolyphosphate, Xanthan Gum, Taurine, Sodium Bisulfate, Dl-Methionine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement], Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Zinc Proteinate, Ferrous Sulfate, Calcium Iodate, Copper Sulfate, Manganous Oxide, Sodium Selenite].	10.5	2.5	2.0	81.0	49990.0	8.7	adult	wet food	pea-free veterinary diet	can	pate	royal canin				0.0	820.0		135.0		135.0			5.8	24.0		
Royal Canin Veterinary Diet Urinary SO Dry Cat Food, 17.6-lb bag	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35158	77.99		Chicken By-Product Meal, Brewers Rice, Corn, Corn Gluten Meal, Chicken Fat, Wheat Gluten, Natural Flavors, Wheat, Salt, Powdered Cellulose, Fish Oil, Potassium Chloride, Sodium Bisulfate, Calcium Sulfate, Sodium Pyrophosphate, Vegetable Oil, Fructooligosaccharides, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Dl-Methionine, Taurine, Monocalcium Phosphate, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.	32.5	13.0	4.0	8.0	49988.0	17.6	adult	dry food	pea-free veterinary diet			royal canin				2.62	3659.0			315.0			17.6		1.0		
Cat Chow Sensitive Stomach Gentle Dry Cat Food, 13-lb bag	https://www.chewy.com/cat-chow-sensitive-stomach-gentle-dry/dp/127657	13.98	15.99	Turkey By-Product Meal, Corn Gluten Meal, Ground Yellow Corn, Soy Flour, Rice, Beef Fat Preserved With Mixed-Tocopherols, Chicken By-Product Meal, Ground Whole Wheat, Turkey, Liver Flavor, Powdered Cellulose, Soybean Hulls, Inulin, Phosphoric Acid, Natural Flavor, Salt, Calcium Carbonate, Choline Chloride, Potassium Chloride, Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. D450418.	34.0	11.0	5.0	12.0	100118.0	13.0	adult	dry food	sensitive digestion pea-free			purina kitten chow				1.22	3655.0			408.0			13.0		1.0		
Fancy Feast Classic Turkey & Giblets Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-turkey-giblets/dp/103915	15.34	16.8	Turkey, Liver, Meat By-Products, Turkey Broth, Poultry Giblets, Artificial and Natural Flavors, Guar Gum, Tricalcium Phosphate, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement].	11.0	5.0	1.5	78.0	76038.0	5.3	adult	wet food	grain-free pea-free	can	pate	purina				3.05	1124.0				96.0			3.0	24.0		
Friskies Classic Pate Turkey & Giblets Dinner Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/friskies-classic-pate-turkey-giblets/dp/104078	13.2	13.92	Meat By-Products, Water Sufficient for Processing, Turkey, Poultry By-Products, Fish, Poultry Giblets, Rice, Artificial and Natural Flavors, Salt, Guar Gum, Calcium Phosphate, Added Color, Potassium Chloride, Carrageenan, Magnesium Sulfate, Taurine, Choline Chloride, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Copper Sulfate, Vitamin A Supplement, Manganese Sulfate, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B12 Supplement, Biotin, Folic Acid, Vitamin D3 Supplement, Potassium Iodide.	10.0	5.0	1.0	78.0	76202.0	9.4	adult	wet food		can	pate	purina				3.05	1131.0		416.0		416.0			5.5	24.0		
Hill's Prescription Diet c/d Multicare Urinary Care Vegetable, Tuna & Rice Stew Canned Cat Food, 2.9-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/108319	39.99		Water, Pork Liver, Carrots, Chicken, Tuna, Wheat Gluten, Rice, Spinach, Corn Starch, Chicken Liver Flavor, Fish Oil, Chicken Fat, Potassium Alginate, Soybean Oil, Titanium Dioxide color, Calcium Chloride, Dicalcium Phosphate, Guar Gum, Calcium Sulfate, Taurine, Choline Chloride, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid, Menadione Sodium Bisulfite Complex, Potassium Citrate, Sodium Tripolyphosphate, Iodized Salt, minerals (Zinc Oxide, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate), Beta-Carotene, Calcium Carbonate.	6.5	3.0	2.0	76.5	80489.0	4.35	adult	wet food	pea-free veterinary diet	can	stew	hill's				0.0			67.0		67.0			2.9	24.0	% moisture max estimated	
Kitten Chow Nurture Dry Cat Food, 14-lb bag	https://www.chewy.com/kitten-chow-nurture-dry-cat-food/dp/127713	13.98	14.49	Chicken By-product Meal, Corn Gluten Meal, Rice, Soy Flour, Beef Fat Preserved With Mixed-tocopherols, Ground Whole Wheat, Chicken, Fish Meal, Liver Flavor, Dried Yeast, Calcium Carbonate, Phosphoric Acid, Salt, Choline Chloride, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, Potassium Chloride. J453018.	40.0	12.5	2.5	12.0	100176.0	14.0	kitten	dry food	high-protein pea-free			purina				5.239999999999999	3653.0			408.0			14.0		1.0		
Hill's Prescription Diet c/d Multicare Urinary Care with Ocean Fish Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/54775	54.99		Pork By-Products, Water, Pork Liver, Ocean Fish, Brewers Rice, Chicken Fat, Corn Starch, Corn Gluten Meal, Chicken Liver Flavor, Powdered Cellulose, Guar Gum, Fish Oil, Soybean Oil, Choline Chloride, Calcium Carbonate, Calcium Sulfate, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Brewers Dried Yeast, Taurine, DL-Methionine, Potassium Chloride, Potassium Citrate, Iodized Salt, minerals (Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Calcium Iodate), Beta-Carotene.	8.5	3.0	1.0	76.5	69857.0	8.25	adult	wet food	pea-free veterinary diet	can	pate	hill's				0.0			169.0		169.0			5.5	24.0	% moisture max estimated	
Fancy Feast Flaked Fish & Shrimp Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-flaked-fish-shrimp-feast/dp/103932	15.36	16.8	Ocean Fish, Fish Broth, Shrimp, Vegetable Oil, Tricalcium Phosphate, Guar Gum, Choline Chloride, Vitamins [Vitamin E Supplement, Niacin, Vitamin A Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B-12 Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Folic Acid, Vitamin D-3 Supplement], Minerals [Ferric Pyrophosphate, Zinc Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Sodium Nitrite (To Promote Color Retention). C-6901.	17.5	2.0	1.5	78.0	76055.0	5.3	adult	wet food		can	flaked	purina				3.05	1027.0				87.0			3.0	24.0		
Purina Pro Plan Focus Adult Urinary Tract Health Formula Chicken Entree in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/purina-pro-plan-focus-adult-urinary/dp/52846	23.28		Water, Meat By-Products, Chicken, Wheat Gluten, Corn Starch-modified, Artificial And Natural Flavors, Soy Flour, Potassium Chloride, Minerals [Potassium Chloride, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Taurine, Tricalcium Phosphate, Salt, Added Color, Choline Chloride, Vitamins [Thiamine Mononitrate, Vitamin E Supplement, Niacin, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement]. E466418.	12.0	3.5	0.2	78.0	67913.0		adult	wet food		can	chunks in gravy	purina				1.772	886.0		25.1					3.0	24.0		
Rachael Ray Nutrish Natural Chicken & Brown Rice Recipe Dry Cat Food, 14-lb bag	https://www.chewy.com/rachael-ray-nutrish-natural-chicken/dp/105836	19.97	19.99	Chicken, Chicken Meal, Corn Gluten Meal, Brown Rice, Brewer's Rice, Dried Peas, Poultry Fat (Preserved with Mixed Tocopherols), Whole Flaxseed, Fish Meal, Dried Plain Beet Pulp, Natural Flavor, Caramel (Color), Salt, Potassium Chloride, Dicalsium Phosphate, Choline Chloride, Taurine, Dried Carrots, Vitamin E Supplement, Zinc Sulfate, Calcium Carbonate, L-Tryptophan, Ferrous Sulfate, Niacin, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Manganese Sulfate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Biotin, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin B12 Supplement, Folic Acid, Potassium Iodide, Vitamin D3 Supplement.	34.0	14.0	4.0	9.0	77993.0	14.0	adult	dry food	n/a							4.375	3635.0			386.0			14.0		1.0		
Fancy Feast Classic Ocean Whitefish & Tuna Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-ocean-whitefish/dp/103922	15.36	16.8	Ocean Whitefish, Liver, Fish, Meat By-Products, Fish Broth, Tuna, Artificial And Natural Flavors, added Color, Guar Gum, Tricalcium Phosphate, MINERALS [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, VITAMINS [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement].	12.0	2.0	1.5	78.0	76045.0	5.3	adult	wet food	grain-free pea-free	can	pate	purina				3.75	997.0				85.0			3.0	24.0		
Friskies Indoor Delights Dry Cat Food, 16-lb bag	https://www.chewy.com/friskies-indoor-delights-dry-cat-food/dp/104282	10.02	11.99	Ground Yellow Corn, Corn Gluten Meal, Chicken By-Product Meal, Soybean Meal, Beef Tallow Preserved With Mixed-Tocopherols, Powdered Cellulose, Soybean Hulls, Liver Flavor, Meat And Bone Meal, Calcium Carbonate, Phosphoric Acid, Salmon Meal, Salt, Natural Flavor, Choline Chloride, Dried Cheese Powder, Parsley Flakes, Potassium Chloride, Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Vitamin E Supplement, Yellow 6, L-Tryptophan, Yellow 5, Red 40, Blue 2. H600218.	30.0	9.0	5.0	12.0	76407.0	16.25	adult	dry food	indoor pea-free			purina				6.4624999999999995	3368.0			364.0			16.0		1.0		
Fancy Feast Grilled Tuna Feast in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-grilled-tuna-feast-in/dp/103968	13.2	16.8	Fish Broth, Tuna, Wheat Gluten, Liver, Chicken, Meat By-Products, Corn Starch-Modified, Artificial and Natural Flavors, Corn Oil, Tricalcium Phosphate, Salt, Soy Protein Concentrate, Added Color, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Taurine, Choline Chloride, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement], Red 3. D-6929.	11.0	2.0	1.5	80.0	76091.0	5.3	adult	wet food		can	grilled	purina				2.75	822.0				70.0			3.0	24.0		
